Date,"Average consumption, electric (kWh/100km)",Distance driven (km),Driving time (min),Average speed (km/h)
2017-07-28,22.9,9,20.00,28
2017-07-29,24.6,9,16.00,34
2017-08-02,23.2,6,15.00,26
2017-08-03,23.9,9,18.00,31
2017-08-04,25.6,9,19.00,29
2017-08-05,23.8,9,19.00,29
2017-08-07,26.9,18,52.00,22
2017-08-10,21.8,9,14.00,38
2017-08-11,23.1,9,14.00,38
2017-08-12,22.5,9,15.00,35
2017-08-13,22.8,9,14.00,39
2017-08-14,26.4,6,14.00,29
2017-08-15,23,32,66.00,29
2017-08-16,23.2,9,19.00,28
2017-08-18,29.9,2,11.00,16
2017-08-18,22.8,9,19.00,29
2017-08-19,22.4,9,14.00,38
2017-08-20,25.4,9,22.00,25
2017-08-21,24.7,37,75.00,30
2017-08-23,23.2,14,23.00,36
2017-08-24,25.8,10,25.00,26
2017-08-24,23.6,9,15.00,36
2017-08-25,25.4,9,17.00,32
2017-08-27,21.8,9,14.00,39
2017-08-28,33.4,8,36.00,14
2017-09-04,27.1,7,21.00,22
2017-09-04,25.6,6,14.00,26
2017-09-06,22.2,16,26.00,39
2017-09-08,24.7,9,20.00,27
2017-09-08,23.1,9,20.00,28
2017-09-09,24.3,8,16.00,32
2017-09-09,22.6,8,16.00,33
2017-09-10,24.2,8,17.00,31
2017-09-11,27.9,14,46.00,19
2017-09-13,23.7,9,17.00,31
2017-09-14,24.1,9,19.00,29
2017-09-15,22.2,9,17.00,32
2017-09-16,23.5,8,16.00,34
2017-09-17,22.9,8,16.00,33
2017-09-18,25.4,19,61.00,19
2017-09-20,22.8,8,14.00,36
2017-09-21,22.8,9,19.00,28
2017-09-22,26.2,9,17.00,33
2017-09-23,27.7,9,16.00,34
2017-09-24,29.3,9,18.00,30
2017-09-25,32.8,5,13.00,23
2017-09-25,39.8,3,7.00,24
2017-09-26,21.4,71,142.00,30
2017-09-26,24.6,62,53.00,70
2017-09-27,24.4,9,19.00,28
2017-09-28,24.6,9,22.00,25
